Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-21,16.291,16.671,16.242,16.655,5340100,0.0,0.0
2021-06-22,16.647,16.76,16.412,16.63,7639400,0.0,0.0
2021-06-23,16.719,16.841,16.655,16.663,6711500,0.0,0.0
2021-06-24,16.736,17.003,16.606,16.938,9626200,0.0,0.0
2021-06-25,16.994,17.237,16.897,17.197,7307200,0.0,0.0
2021-06-28,17.1,17.1,16.622,16.719,8846900,0.0,0.0
2021-06-29,16.841,16.97,16.501,16.598,7832200,0.0,0.0
2021-06-30,16.574,16.792,16.533,16.703,5819600,0.0,0.0
2021-07-01,16.857,16.962,16.711,16.897,6113700,0.0,0.0
2021-07-02,16.889,16.914,16.671,16.76,4785300,0.0,0.0
2021-07-06,16.695,16.703,16.186,16.226,8271900,0.0,0.0
2021-07-07,16.048,16.315,16.0,16.105,7750300,0.0,0.0
2021-07-08,15.749,15.967,15.571,15.692,8973800,0.0,0.0
2021-07-09,16.08,16.347,15.927,16.315,7741100,0.0,0.0
2021-07-12,16.08,16.566,15.935,16.517,6110000,0.0,0.0
2021-07-13,16.525,16.525,16.113,16.234,5350300,0.0,0.0
2021-07-14,16.266,16.501,15.919,16.169,7470500,0.0,0.0
2021-07-15,16.016,16.444,15.935,16.307,6798900,0.0,0.0
2021-07-16,16.42,16.452,15.611,15.652,8612300,0.0,0.0
2021-07-19,15.247,15.377,14.843,14.956,14320900,0.0,0.0
2021-07-20,14.527,15.692,14.479,15.449,12614900,0.0,0.0
2021-07-21,15.627,15.902,15.611,15.7,11760500,0.0,0.0
2021-07-22,15.627,15.644,15.272,15.369,7286300,0.0,0.0
2021-07-23,15.571,15.797,15.377,15.449,7375000,0.0,0.0
2021-07-26,15.498,15.797,15.498,15.652,7462000,0.0,0.0
2021-07-27,15.458,15.805,15.361,15.66,7250400,0.0,0.0
2021-07-28,15.757,16.024,15.538,15.846,9908300,0.0,0.0
2021-07-29,16.032,16.226,15.878,16.072,10000800,0.0,0.0
2021-07-30,15.975,16.234,15.813,15.902,8863200,0.0,0.0
2021-08-02,15.975,16.428,15.797,15.805,7933800,0.0,0.0
2021-08-03,15.927,16.234,15.611,16.186,7653400,0.0,0.0
2021-08-04,15.911,16.258,15.846,15.878,7512400,0.0,0.0
2021-08-05,15.991,16.169,15.983,16.097,5549800,0.0,0.0
2021-08-06,16.339,16.63,16.307,16.444,6153500,0.0,0.0
2021-08-09,16.331,16.558,16.177,16.339,6129300,0.0,0.0
2021-08-10,16.315,16.728,16.242,16.647,7416600,0.0,0.0
2021-08-11,16.679,16.922,16.485,16.889,6823500,0.0,0.0
2021-08-12,16.857,16.93,16.679,16.849,5301300,0.0,0.0
2021-08-13,16.946,16.978,16.647,16.728,5761100,0.0,0.0
2021-08-16,16.541,16.695,16.355,16.598,6031200,0.0,0.0
2021-08-17,16.412,16.55,16.113,16.347,5611400,0.0,0.0
2021-08-18,16.25,16.517,16.169,16.194,5857900,0.0,0.0
2021-08-19,16.0,16.161,15.83,15.967,5763400,0.0,0.0
2021-08-20,15.919,16.113,15.846,16.105,6086000,0.0,0.0
2021-08-23,16.25,16.396,16.194,16.307,4428000,0.0,0.0
2021-08-24,16.372,16.566,16.323,16.509,4603300,0.0,0.0
2021-08-25,16.582,16.97,16.493,16.865,4973100,0.0,0.0
2021-08-26,16.938,16.938,16.517,16.59,5157600,0.0,0.0
2021-08-27,16.59,16.938,16.566,16.897,4688400,0.0,0.0
2021-08-30,16.91,16.934,16.453,16.461,4268200,0.185,0.0
2021-08-31,16.493,16.714,16.42,16.583,6984700,0.0,0.0
2021-09-01,16.599,16.616,16.257,16.33,6946100,0.0,0.0
2021-09-02,16.314,16.583,16.265,16.42,5525600,0.0,0.0
2021-09-03,16.428,17.228,16.24,16.363,6050100,0.0,0.0
2021-09-07,16.412,16.64,16.347,16.355,5955700,0.0,0.0
2021-09-08,16.273,16.371,16.077,16.11,5085800,0.0,0.0
2021-09-09,16.077,16.453,16.004,16.298,4872700,0.0,0.0
2021-09-10,16.404,16.453,16.191,16.216,6625000,0.0,0.0
2021-09-13,16.428,16.942,16.338,16.91,13308200,0.0,0.0
2021-09-14,16.942,17.089,16.697,16.812,13302500,0.0,0.0
2021-09-15,16.91,17.252,16.893,17.138,11208300,0.0,0.0
2021-09-16,17.081,17.318,17.016,17.048,9390500,0.0,0.0
2021-09-17,17.065,17.285,16.877,16.942,14040200,0.0,0.0
2021-09-20,16.444,16.477,16.061,16.371,12057400,0.0,0.0
2021-09-21,16.493,16.526,16.159,16.265,8320200,0.0,0.0
2021-09-22,16.526,16.755,16.469,16.575,7159800,0.0,0.0
2021-09-23,16.795,17.252,16.722,17.114,8767200,0.0,0.0
2021-09-24,17.146,17.416,17.114,17.252,5767000,0.0,0.0
2021-09-27,17.514,17.897,17.456,17.807,8736000,0.0,0.0
2021-09-28,17.938,18.044,17.709,17.75,8352400,0.0,0.0
2021-09-29,17.807,18.011,17.677,17.946,6013100,0.0,0.0
2021-09-30,18.036,18.101,17.644,17.644,7711500,0.0,0.0
2021-10-01,17.799,18.362,17.775,18.232,9436100,0.0,0.0
2021-10-04,18.256,18.632,18.191,18.289,8231600,0.0,0.0
2021-10-05,18.46,18.681,18.264,18.525,7023500,0.0,0.0
2021-10-06,18.362,18.501,18.06,18.468,7767200,0.0,0.0
2021-10-07,18.615,18.77,18.37,18.525,10087800,0.0,0.0
2021-10-08,18.477,18.827,18.436,18.746,12401700,0.0,0.0
2021-10-11,18.893,19.007,18.632,18.648,5679800,0.0,0.0
2021-10-12,18.574,18.778,18.485,18.648,6940100,0.0,0.0
2021-10-13,18.517,18.632,18.085,18.509,7651400,0.0,0.0
2021-10-14,18.762,18.966,18.566,18.942,8952900,0.0,0.0
2021-10-15,19.162,19.219,18.689,18.787,9414800,0.0,0.0
2021-10-18,18.77,19.048,18.746,18.803,6793800,0.0,0.0
2021-10-19,18.893,18.966,18.738,18.934,6940500,0.0,0.0
2021-10-20,18.819,19.399,18.778,19.358,10598900,0.0,0.0
2021-10-21,19.586,20.052,19.244,19.407,9893700,0.0,0.0
2021-10-22,19.586,19.831,19.529,19.619,7746100,0.0,0.0
2021-10-25,19.725,19.766,19.562,19.644,5525200,0.0,0.0
2021-10-26,19.684,19.684,19.44,19.497,6028000,0.0,0.0
2021-10-27,19.382,19.513,18.999,19.007,7458400,0.0,0.0
2021-10-28,19.072,19.219,19.031,19.178,4888800,0.0,0.0
2021-10-29,19.203,19.211,18.974,18.991,5218600,0.0,0.0
2021-11-01,19.187,19.309,19.121,19.268,3930600,0.0,0.0
2021-11-02,19.219,19.35,19.138,19.203,4948500,0.0,0.0
2021-11-03,19.089,19.66,19.023,19.546,6548100,0.0,0.0
2021-11-04,19.48,19.529,19.007,19.203,6157300,0.0,0.0
2021-11-05,19.423,19.529,19.195,19.325,5088500,0.0,0.0
2021-11-08,19.44,19.57,19.187,19.342,6969700,0.0,0.0
