Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-25,28.446,29.862,28.437,29.8,9284100,0.0,0.0
2022-02-28,29.606,31.571,29.482,31.535,12942500,0.0,0.0
2022-03-01,32.119,33.314,31.854,33.004,15356900,0.0,0.0
2022-03-02,33.633,34.668,32.934,33.518,12209000,0.0,0.0
2022-03-03,32.916,33.889,32.845,33.881,11157200,0.0,0.0
2022-03-04,34.022,35.164,33.544,34.943,14536200,0.0,0.0
2022-03-07,35.323,35.899,33.04,33.562,15962100,0.0,0.0
2022-03-08,34.633,36.465,33.155,34.19,16485200,0.0,0.0
2022-03-09,32.739,34.429,32.181,34.252,13634700,0.0,0.0
2022-03-10,34.571,35.58,33.845,35.438,10804000,0.0,0.0
2022-03-11,35.013,35.536,34.518,34.562,8395100,0.0,0.0
2022-03-14,33.642,34.066,32.252,33.261,11775900,0.0,0.0
2022-03-15,31.482,32.606,30.801,32.482,11132700,0.0,0.0
2022-03-16,32.571,32.863,31.765,32.615,10542400,0.0,0.0
2022-03-17,33.473,35.27,33.296,34.898,9280800,0.0,0.0
2022-03-18,34.642,34.854,34.199,34.615,11795000,0.0,0.0
2022-03-21,35.518,36.934,35.447,36.182,8093600,0.0,0.0
2022-03-22,36.005,36.536,35.27,35.863,7202900,0.0,0.0
2022-03-23,36.642,36.943,35.668,36.031,8012900,0.0,0.0
2022-03-24,36.111,36.934,35.713,36.093,5551700,0.0,0.0
2022-03-25,35.792,37.253,35.615,36.757,5891400,0.0,0.0
2022-03-28,35.845,35.845,34.456,35.27,7191100,0.0,0.0
2022-03-29,34.412,36.261,34.093,36.253,7534500,0.0,0.0
2022-03-30,36.686,37.492,36.005,36.465,9015800,0.0,0.0
2022-03-31,36.341,37.855,36.111,36.58,7934500,0.0,0.0
2022-04-01,36.66,37.784,36.66,37.368,5005400,0.0,0.0
2022-04-04,38.058,38.669,37.412,38.04,6937800,0.0,0.0
2022-04-05,38.262,38.837,36.801,36.899,7330100,0.0,0.0
2022-04-06,37.085,37.385,35.722,36.12,7368000,0.0,0.0
2022-04-07,36.792,37.093,34.836,36.288,8741500,0.0,0.0
2022-04-08,36.615,38.412,36.553,38.076,6951900,0.0,0.0
2022-04-11,37.492,37.562,36.049,36.35,9983100,0.0,0.0
2022-04-12,37.155,38.288,37.129,37.332,5817500,0.0,0.0
2022-04-13,37.925,38.934,37.288,38.598,6519500,0.0,0.0
2022-04-14,38.386,39.191,38.341,38.66,5864600,0.0,0.0
2022-04-18,39.041,39.819,38.465,38.925,10373400,0.0,0.0
2022-04-19,38.545,40.023,38.465,39.288,7131600,0.0,0.0
2022-04-20,39.324,39.961,38.899,39.235,8777200,0.0,0.0
2022-04-21,39.843,40.136,36.994,37.447,10374600,0.125,0.0
