Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-05-19,277.38,279.419,276.086,278.994,2371200,0.0,0.0
2023-05-22,278.994,280.023,272.943,273.141,2514700,0.0,0.0
2023-05-23,272.008,272.339,269.45,270.328,2943900,0.0,0.0
2023-05-24,270.404,271.036,268.638,269.903,2262100,0.0,0.0
2023-05-25,270.725,270.838,268.761,269.526,2748100,0.0,0.0
2023-05-26,269.677,272.575,269.677,270.017,2148200,0.0,0.0
2023-05-30,268.025,270.309,267.789,268.959,3385200,0.0,0.0
2023-05-31,268.921,269.696,267.477,269.139,3104900,0.0,0.0
2023-06-01,268.959,271.905,267.713,271.744,2605300,0.0,0.0
2023-06-02,272.076,275.398,271.545,275.122,2869400,1.52,0.0
2023-06-05,275.208,275.682,273.338,273.718,1974500,0.0,0.0
2023-06-06,275.075,275.426,267.597,270.026,2771500,0.0,0.0
2023-06-07,269.941,270.216,266.961,267.521,3614800,0.0,0.0
2023-06-08,266.638,271.469,265.718,271.203,3043700,0.0,0.0
2023-06-09,270.956,272.627,270.216,272.162,1975900,0.0,0.0
2023-06-12,273.462,274.022,271.886,273.851,1885000,0.0,0.0
2023-06-13,273.784,274.914,272.883,273.832,2027800,0.0,0.0
2023-06-14,273.405,274.79,272.655,273.727,1964500,0.0,0.0
2023-06-15,274.876,278.51,273.557,277.685,2619200,0.0,0.0
2023-06-16,279.488,281.443,278.188,278.719,4891200,0.0,0.0
2023-06-20,278.672,282.022,277.751,278.093,2729800,0.0,0.0
2023-06-21,278.358,280.105,277.874,279.497,2837100,0.0,0.0
2023-06-22,279.592,280.029,276.65,278.34,1799400,0.0,0.0
2023-06-23,276.489,277.533,274.866,275.122,3720600,0.0,0.0
2023-06-26,274.866,274.971,272.427,274.344,1851800,0.0,0.0
2023-06-27,275.502,277.571,274.876,276.441,1815000,0.0,0.0
2023-06-28,276.584,276.935,274.306,276.859,1666500,0.0,0.0
2023-06-29,276.679,279.63,275.407,279.45,1744000,0.0,0.0
2023-06-30,280.086,283.844,279.848,283.189,2644700,0.0,0.0
2023-07-03,282.601,283.179,279.763,279.801,1601300,0.0,0.0
2023-07-05,280.057,282.145,279.564,281.756,2356000,0.0,0.0
2023-07-06,280.256,281.452,278.472,279.877,2569600,0.0,0.0
2023-07-07,278.738,279.345,276.679,277.201,2586500,0.0,0.0
2023-07-10,277.485,280.541,277.419,279.469,1703700,0.0,0.0
2023-07-11,280.228,280.427,276.887,279.706,1529600,0.0,0.0
2023-07-12,281.689,281.946,280.143,280.532,2156000,0.0,0.0
2023-07-13,280.323,281.528,279.962,280.162,1656900,0.0,0.0
2023-07-14,280.19,280.949,279.013,279.896,1550000,0.0,0.0
2023-07-17,280.029,281.718,279.526,279.649,1669900,0.0,0.0
2023-07-18,279.45,280.665,277.542,278.833,1991600,0.0,0.0
2023-07-19,279.953,280.332,278.264,279.127,1969200,0.0,0.0
2023-07-20,279.298,282.382,279.108,281.974,2104300,0.0,0.0
2023-07-21,282.477,284.081,280.256,280.532,2835500,0.0,0.0
2023-07-24,280.902,281.803,279.82,280.247,2034400,0.0,0.0
2023-07-25,279.194,279.886,276.774,277.447,2780600,0.0,0.0
2023-07-26,277.343,277.656,274.733,276.869,2896900,0.0,0.0
2023-07-27,277.106,283.654,276.641,280.133,4698300,0.0,0.0
2023-07-28,280.712,282.515,278.007,279.032,2843000,0.0,0.0
2023-07-31,278.634,279.232,275.255,278.245,3296000,0.0,0.0
2023-08-01,278.055,278.918,275.445,276.223,1916200,0.0,0.0
